"Depth","Age","TRSH"
NA,-59,46.1279461279461
NA,-6,42.6174496644295
NA,45,40.1993355481728
NA,94,40
NA,143,44.4816053511706
NA,196,44.7811447811448
NA,221,52.1311475409836
NA,247,45.1178451178451
NA,273,53.8461538461538
NA,298,47.6510067114094
NA,323,44.9664429530201
NA,349,43.6666666666667
NA,375,46.4646464646465
NA,401,42
NA,428,37.8378378378378
NA,455,36.3636363636364
NA,505,37.6666666666667
NA,555,34.1137123745819
NA,664,33.4448160535117
NA,832,28.4280936454849
NA,1001,27.7591973244147
NA,1195,28
NA,1390,29.96632996633
NA,1731,22.6666666666667
NA,2215,33
NA,2697,33.3333333333333
NA,3171,37.3333333333333
NA,3645,30.6666666666667
NA,4121,38
NA,4604,36.6666666666667
NA,5087,45.819397993311
NA,5878,42.2818791946309
NA,6668,39.4648829431438
NA,7574,39.5973154362416
NA,8606,29.7658862876254
NA,9630,31.3131313131313
NA,10641,36.241610738255
NA,11653,32.1070234113712
NA,12565,34.8993288590604
NA,13339,32.8859060402685
NA,14118,30.1003344481605
