"Depth","Age","TRSH"
1050,4630,6.87022900763359
1440,5311,0
1500,5416,3.33333333333333
1670,5713,0
1760,5870,5.20833333333333
1800,5940,4.04040404040404
1850,6118,4.61538461538461
1910,6332,1.41843971631206
1960,6510,1.92307692307692
2050,6830,5.66037735849057
2100,7008,9.73451327433628
2140,7150,0.892857142857143
2180,7293,2.12765957446809
2220,7435,4.6875
2260,7578,2.77777777777778
2300,7720,8.10810810810811
2340,7862,8.82352941176471
2380,8005,1.51515151515152
2420,8147,1.42857142857143
2480,8361,1.28205128205128
