"Depth","Age","TRSH"
0,-3,7.59493670886076
10,390,8.88888888888889
25,992,0
45,1805,22.4489795918367
50,2009,12.1212121212121
60,2367,42.3076923076923
75,2822,0
80,2975,2.89855072463768
90,3275,0
105,3733,1.88679245283019
120,4698,14.5454545454545
130,5440,13.3333333333333
145,6550,28.5714285714286
155,7278,12.7659574468085
172,7878,6.13496932515337
190,8406,7.40740740740741
205,8851,1.55038759689922
215,9156,1.68067226890756
225,9888,1.25391849529781
235,10620,8.55263157894737
245,10986,57.8947368421053
255,11699,62.8571428571429
