"Depth","Age","TRSH"
5,17,8.24742268041237
10,93,9.78260869565217
15,165,7.28744939271255
20,237,4.1522491349481
25,310,1.14942528735632
30,383,0.72992700729927
35,456,2.24215246636771
40,531,0.900900900900901
45,624,0.2710027100271
50,716,0.903614457831325
55,848,2.45098039215686
60,981,3.125
65,1118,1.55038759689922
70,1261,0.273224043715847
75,1404,1.93236714975845
80,1545,1.55038759689922
85,1704,1.06809078771696
90,1864,1.6597510373444
95,2050,0.304878048780488
100,2238,0.641025641025641
105,2426,4.23728813559322
115,2832,1.88679245283019
125,3456,6.98689956331878
140,4678,20
145,5091,11.2676056338028
155,5932,4.54545454545455
160,6353,2.46913580246914
170,7209,2.80373831775701
180,8051,5.79710144927536
190,8878,1.34680134680135
200,9688,13.6612021857923
210,10498,1.76991150442478
220,11190,0.970873786407767
230,11493,0.947867298578199
240,11789,4.9466537342386
250,12109,9.2436974789916
261,12364,5.55555555555556
270,17,8.24742268041237
