"Depth","Age","TRSH"
5,51,12.8787878787879
15,154,3.88349514563107
25,256,2.80701754385965
35,358,1.50375939849624
45,461,1.74216027874564
55,563,1.6
65,812,0.914634146341463
75,1400,0.506329113924051
85,1989,2.06896551724138
95,2578,0
105,3167,3.1055900621118
115,3756,1.3745704467354
125,4279,3.78378378378378
135,4738,0.921658986175115
145,5197,4.61538461538461
155,5655,6.49350649350649
165,6114,1.28205128205128
175,6573,1.55642023346304
185,7031,0
190,7261,14.8148148148148
200,7719,3.57142857142857
