"Depth","Age","TRSH"
2,83,42.9657794676806
14,672,59.8885793871866
25,869,61.3138686131387
45,1231,59.6
66,1608,59.0225563909774
88,2008,55.1020408163265
107,2354,50.5535055350554
133,2825,60.5351170568562
158,3276,64.6586345381526
178,3656,56.9037656903766
195,4340,50.1557632398754
218,5344,52.4229074889868
238,6245,64.9606299212598
262,7238,61.7021276595745
285,7652,67.8787878787879
296,7704,64.4351464435146
327,7849,66.9291338582677
358,7994,67.574931880109
372,8062,68.0781758957655
388,8139,70.1492537313433
404,8213,66.1341853035144
427,8326,65.3508771929825
445,8418,69.7368421052632
465,8520,68.5393258426966
487,8634,69.2622950819672
514,8773,71.875
533,8872,67.2354948805461
545,8934,67.4285714285714
555,8985,67.7083333333333
565,9037,73.0941704035874
575,9088,70.712401055409
606,9249,75.4658385093168
618,9308,74.3523316062176
630,9322,80.6569343065693
648,9796,77.4011299435028
658,10058,73.5177865612648
672,10428,78.4263959390863
682,10709,70.0617283950617
705,11458,81.640625
709,11588,76.4119601328904
715,11794,72.9241877256318
720,11966,54.4378698224852
725,12139,68.9285714285714
730,12311,69.7959183673469
735,12490,58.4905660377358
740,12669,51.1013215859031
745,12843,58.1632653061224
750,13018,50
755,13196,59.4262295081967
764,13496,61.214953271028
767,13587,67.8048780487805
771,13699,72.5490196078431
782,13978,70.8588957055215
785,14050,73.7410071942446
790,14167,43.8502673796791
814,14651,71.6981132075472
826,14895,69.9248120300752
833,15038,74.7126436781609
837,15120,79.5847750865052
847,15326,70.5882352941177
852,15430,76.3380281690141
857,15531,80.5797101449275
871,15804,82.0224719101124
882,16020,67.8217821782178
