"Depth","Age","TRSH"
2,46,43.9655172413793
18,792,38.5964912280702
30,1378,40.4907975460123
40,1884,43.5233160621762
60,2826,36.25
70,3300,28.2352941176471
80,4050,41.7721518987342
102,4895,27.1293375394322
110,5200,32.404181184669
120,5586,25.3333333333333
130,5966,29.553264604811
140,6348,27.7533039647577
150,6712,44.4816053511706
160,7052,36.6883116883117
170,7359,39.9538106235566
180,7673,46.7625899280576
190,7992,46.0526315789474
210,8618,28.673835125448
220,9046,40.0793650793651
226,9521,44.9152542372881
230,9819,44.1269841269841
234,10119,44.1358024691358
240,10559,39.2405063291139
246,10978,41.4965986394558
250,11211,39.3939393939394
256,11552,33.0960854092527
260,11782,22.7272727272727
270,12346,19.7718631178707
276,12679,19.9395770392749
282,12941,17.2077922077922
286,13057,18.5654008438819
292,13241,21.5976331360947
296,13363,12.0833333333333
300,13488,18.3870967741935
311,13849,19.6531791907514
315,14051,18.0473372781065
318,14218,17.8723404255319
320,14330,24.5674740484429
330,14566,20.5128205128205
336,14690,22.0588235294118
344,14857,18.5185185185185
350,14981,19.3467336683417
360,15283,12.3324396782842
366,15459,14.0077821011673
370,15577,15.6462585034014
374,15694,16.9291338582677
380,15871,19.2926045016077
394,16434,14.3911439114391
402,16755,15.6462585034014
421,17531,20.9302325581395
431,17938,18.8405797101449
439,18258,20.7865168539326
