"Depth","Age","TRSH"
37,0,9.00900900900901
55,103,3.33333333333333
85,274,1.05820105820106
105,388,2.97872340425532
123,490,0.210970464135021
135,559,0.72202166064982
155,673,6.34920634920635
165,730,0.952380952380952
175,787,11.3861386138614
185,844,11.5183246073298
195,901,1.39372822299652
205,958,5.91715976331361
220,1043,4.60992907801418
236,1155,4.61538461538461
265,1419,11.7924528301887
280,1555,7.53138075313807
320,1919,6.46766169154229
345,2147,2.87769784172662
372,2393,10.5555555555556
385,2511,5.32915360501567
400,2648,17.3333333333333
515,3695,14.0540540540541
540,3922,12
570,4195,10.8433734939759
595,4423,7.04845814977974
630,4741,13.0612244897959
660,5015,6.08974358974359
690,5288,5.61224489795918
720,5561,14.4736842105263
750,6144,20.2479338842975
810,7722,37.0967741935484
840,8511,30.7017543859649
860,9037,21.4285714285714
880,9563,26.2589928057554
890,9826,28.6764705882353
910,10353,26.5486725663717
920,10616,39.010989010989
