"Depth","Age","TRSH"
804,-8,25.0614250614251
814,252,26.1603375527426
824,516,12.7118644067797
834,777,14.6596858638743
844,1024,24.4897959183673
854,1186,16.2698412698413
864,1350,13.9024390243902
874,1512,15.3024911032028
884,1676,12.5
896,1870,10.5263157894737
900,1944,20.7951070336391
905,2074,15.5807365439093
912,2276,16.7979002624672
932,2855,22.107969151671
952,3438,14.9625935162095
972,4014,21.882951653944
990,4533,13.8461538461538
994,4646,16.2162162162162
998,4763,24.5901639344262
1000,4826,21.6763005780347
1002,4896,25.9615384615385
1004,4965,18.6486486486486
1010,5335,22.8438228438228
1030,6587,25.4117647058824
1050,7825,22.1428571428571
1062,8569,24.7572815533981
1072,9189,22.4358974358974
1082,9812,21.2041884816754
1092,10434,18.9189189189189
1097,10749,37.037037037037
1100,10937,27.5147928994083
1102,11059,34.4827586206897
1105,11245,31.2925170068027
1107,11370,39.2638036809816
1108,11432,33.630289532294
1109,11495,37.7470355731225
1111,11619,28.6729857819905
1112,11681,35.8921161825726
1117,11988,38
1120,12162,37.7410468319559
