"Depth","Age","TRSH"
0,0,2.4024024024024
20,303,3.00429184549356
30,454,0.82135523613963
50,757,1.57303370786517
68,1030,0.840336134453782
100,1514,1.77514792899408
114,1726,2.05128205128205
140,2120,1.07913669064748
160,2740,0.78740157480315
180,3359,0.578034682080925
205,4134,2.04081632653061
225,4754,2.38805970149254
265,5993,0.65359477124183
274,6272,0
300,6887,0.36101083032491
310,7091,0.289855072463768
330,7498,0.204918032786885
350,7906,0.355871886120996
374,8395,1.4018691588785
390,8721,0.985221674876847
400,8925,2.47252747252747
418,9292,3.00546448087432
430,9536,2.02898550724638
444,9822,1.98863636363636
