Depth,Age,TRSH
1,0,34.09090909
2,45,29.77346278
4,96,52.41157556
3,117,26.61290323
5,132,21.6828479
6,143,33.9869281
7,158,25.08038585
8,170,18.92744479
9,184,30.96774194
10,213,26.05863192
11,219,27.81456954
12,235,21.89542484
13,259,31.16883117
14,327,28.43450479
15,402,37.02531646
16,405,34.74025974
17,506,23.76237624
18,533,26.26582278
19,604,67.63754045
20,805,30.6501548
21,866,25.92592593
22,928,48.20846906
23,934,27.18446602
24,944,26.26582278
25,1013,50.46153846
26,1056,35.31353135
27,1265,44.30379747
28,2004,74.51612903
29,3790,57.70491803
30,4000,48.19672131
