"Depth","Age","TRSH"
10,312,3.16055625790139
20,625,2.3936170212766
30,938,3.00230946882217
40,1250,3.13152400835073
45,1562,3.02066772655008
50,1875,3.996003996004
60,2188,4.67032967032967
70,2500,5.16129032258065
75,2749,2.62828535669587
80,2997,6.6079295154185
85,3246,4.46333687566419
90,3494,6.48801128349788
95,3743,6.73443456162643
110,3991,3.69297610427227
115,4240,3.83973288814691
120,4756,5.25096525096525
125,5273,6.42292490118577
130,5789,4.52322738386308
135,6306,3.12796208530806
140,6822,3.05028854080791
145,7339,3.23624595469256
150,7855,5.77299412915851
155,8371,6.67311411992263
160,8888,5.47309833024119
165,9404,4.74485228290063
170,9921,5.42476970317298
185,10437,13.9072847682119
210,10954,2.73224043715847
215,11470,2.11981566820277
225,11986,5.32687651331719
235,12503,3.63636363636364
245,13019,4.26829268292683
255,13536,4.34782608695652
265,14052,6.25
275,14569,6.20915032679739
285,15085,7.18562874251497
295,15601,10.077519379845
