"Depth","Age","TRSH"
0,-56,59.4594594594595
3,188,60
5,342,53.0751708428246
7.5,543,28.0373831775701
10,737,32.3595505617978
12.5,939,26.4397905759162
15,1135,36.6559485530547
17.5,1339,27.8651685393258
20,1539,32.4675324675325
22.5,1739,18.5915492957746
25,1935,41.1910669975186
27.5,2149,30.8641975308642
30,2737,50.251256281407
32.5,3559,34.5263157894737
35,4307,19.8412698412698
37.5,4857,61.3293051359517
40,5359,40.0932400932401
42,5771,52.8089887640449
45,6374,36.7847411444142
47,11935,50.1305483028721
50,12684,53.133514986376
52,13367,66.1490683229814
55,14383,74.7572815533981
57,14649,58.9970501474926
60,14957,61.8181818181818
63,15257,47.3988439306358
64,15373,61.7469879518072
70,16261,63.6904761904762
75,17034,64.6302250803859
80,17814,66.5551839464883
85,18584,69.7201017811705
