"Depth","Age","TRSH"
0.5,14,2.4
3,197,3.44827586206897
5,345,3.9647577092511
7.5,531,2.13903743315508
10,724,5.29801324503311
15,1100,3.96825396825397
20,1480,2.48756218905473
25,1855,3.93700787401575
30,2229,2.34375
35,2607,5.29801324503311
40,2979,3.31491712707182
45,3358,3.96039603960396
49,3659,5.22388059701493
55,4108,3.64372469635628
60,4485,8.71559633027523
65,4864,3.46320346320346
70,5233,4.31034482758621
75,5603,7.48299319727891
77.5,5788,6.39097744360902
78,5826,2.8
78.5,5861,3.13725490196078
79,5896,4.85074626865672
79.5,5933,4.92424242424242
80,5970,1.73410404624277
80.5,6005,2.58620689655172
85,6321,3.42205323193916
90,6678,5.1063829787234
97.5,7212,4.31034482758621
98.5,7283,3.74531835205992
