"Depth","Age","TRSH"
5,49,29.9270072992701
15,168,32.5
25,285,32.6530612244898
35,405,35.6164383561644
45,521,28.6713286713287
55,637,34.0579710144928
65,755,26.056338028169
75,891,26.9961977186312
85,1059,17.3333333333333
95,1281,17.6470588235294
105,1684,20.0803212851406
115,2147,22.65625
125,2783,35.0877192982456
135,3369,36.3970588235294
145,3773,39.568345323741
155,4175,38.8888888888889
165,4570,35.9550561797753
175,4973,32.3529411764706
185,5379,34.4322344322344
195,5782,35.8267716535433
205,6182,20.1986754966887
215,6583,15.6666666666667
