"Depth","Age","TRSH"
1,-51,27.9904306220096
3,-41,29.950495049505
5,-31,37.7308707124011
7,-20,33.1683168316832
9,-10,44.2896935933148
11,1,29.7520661157025
13,11,46.0893854748603
15,21,47.4801061007958
17,31,24.4755244755245
19,42,44.0111420612813
21,52,49.1573033707865
23,63,44.8571428571429
25,73,41.8032786885246
27,84,48.8950276243094
29,95,45.2830188679245
31,105,42.6630434782609
33,113,37.8016085790885
35,123,38.5964912280702
37,131,40.1069518716578
39,140,46.927374301676
41,148,37.9032258064516
43,156,32.0954907161804
45,163,33.0097087378641
47,171,39.3700787401575
49,179,27.8571428571429
51,187,25.9162303664921
53,195,33.0645161290323
55,202,28.125
57,210,29.2553191489362
59,218,25.2747252747253
61,226,30.9192200557103
63,233,34.9862258953168
65,241,36.144578313253
67,248,30.0531914893617
69,256,23.5457063711911
71,264,23.8010657193606
73,271,8.25515947467167
75,279,7.98934753661784
77,287,36.5942028985507
79,295,16.8032786885246
81,303,19.3140794223827
83,310,17.9962894248609
85,318,14
87,326,18.9555125725338
89,333,16.5492957746479
91,341,15.5642023346303
93,349,17.4904942965779
95,357,19.8511166253102
97,365,15.0847457627119
99,373,16.0377358490566
101,381,20.722433460076
103,389,20.1785714285714
105,397,13.5021097046414
107,405,15.4471544715447
109,413,10.2009273570325
111,421,7.83505154639175
113,428,9.81132075471698
115,435,8.67052023121387
117,443,6.75675675675676
119,451,9.11722141823444
121,461,17.0124481327801
126,492,13.9817629179331
131,525,10.8108108108108
136,562,10.5032822757112
141,600,24.3589743589744
146,638,12.788906009245
151,676,4.11280846063455
156,714,7.47663551401869
161,753,3.53909465020576
166,794,1.15740740740741
171,834,4.71760797342193
176,873,4.04
186,953,5.34449452672247
191,993,7.01754385964912
196,1033,7.12694877505568
201,1074,10.8262108262108
206,1113,18.657937806874
211,1153,26.3005780346821
216,1193,19.7802197802198
221,1233,22.2222222222222
226,1272,20.5314009661836
231,1311,21.2616822429907
236,1351,24.6376811594203
241,1390,23.8227146814404
246,1430,21.6494845360825
251,1470,18.230563002681
256,1509,19.4570135746606
261,1547,23.3128834355828
266,1586,23.1481481481481
271,1629,19.1275167785235
276,1688,22.2222222222222
281,1746,25.4452926208651
286,1806,23.0769230769231
291,1865,23.1818181818182
296,1925,25.3658536585366
301,1985,23.8693467336683
306,2047,26.0340632603406
311,2110,20.5445544554455
316,2171,17.4603174603175
321,2232,21.1981566820277
326,2293,22.0379146919431
331,2354,25.9351620947631
336,2414,28.2051282051282
341,2473,29.7709923664122
346,2533,27.8325123152709
351,2592,23.8805970149254
356,2651,21.1991434689507
361,2710,25.7294429708223
366,2770,30.6172839506173
371,2830,20.5645161290323
376,2892,25.9162303664921
381,2954,20.88772845953
386,3014,25.6544502617801
391,3074,21.2435233160622
396,3134,18.1818181818182
