"Depth","Age","TRSH"
5,69,7.02917771883289
15,228,6.47948164146868
25,387,15.0078988941548
35,512,10.7323232323232
45,591,7.08833151581243
55,651,15.625
65,721,8.86558627264061
75,814,26.6932270916335
85,919,39.7260273972603
95,1026,39.4366197183099
105,1131,40.6896551724138
115,1236,47.2527472527473
125,1344,37.4468085106383
135,1452,41.0628019323672
145,1559,38.8185654008439
155,1667,34.6846846846847
165,1774,19.4520547945205
175,1881,21.5568862275449
185,1989,6.7953667953668
195,2114,50.8090614886731
205,2260,38.0782918149466
215,2409,46.3320463320463
225,2559,42.4892703862661
235,2708,40.4844290657439
245,2857,46.5346534653465
255,3006,44.0273037542662
265,3158,50.6912442396313
275,3311,51.1111111111111
285,3462,52.073732718894
295,3617,48.8888888888889
305,3768,65.5737704918033
315,3920,49.1329479768786
325,4072,50.8379888268156
335,4221,55.2742616033755
345,4371,57.5539568345324
355,4522,55.2325581395349
365,4672,49.390243902439
375,4822,45.2513966480447
385,4970,50.2857142857143
395,5115,44.578313253012
405,5263,40.1129943502825
415,5400,37.5
425,5515,30.8988764044944
435,5617,39.8058252427184
445,5718,22.5806451612903
455,5820,20.6225680933852
