"Depth","Age","TRSH"
5,185,26.7605633802817
15,575,17.3469387755102
25,974,22.5071225071225
35,1383,9.25507900677201
45,1776,14.2857142857143
55,2178,19.1176470588235
65,2582,15.4430379746835
75,2984,13.6612021857923
85,3384,11.8226600985222
95,3789,11.4503816793893
105,4188,13.0063965884861
115,4585,15.3488372093023
125,4980,12.5813449023861
135,5369,11.3110539845758
145,5760,10
155,6158,17.3789173789174
165,6564,15.8490566037736
175,6966,15.9468438538206
185,7365,18.705035971223
195,7759,12.8440366972477
205,8156,6.74846625766871
215,8555,16.1716171617162
225,8957,15.5339805825243
235,9357,12.3515439429929
245,9755,11.3636363636364
255,10151,13.3928571428571
265,10546,15.0306748466258
275,10927,10.1694915254237
285,11325,14.3835616438356
295,11720,17.4603174603175
305,12112,11.6022099447514
315,12514,17.6646706586826
325,12917,19.1740412979351
335,13315,25.8855585831063
345,13718,22.4431818181818
355,14125,27.9635258358663
365,14522,20.6060606060606
375,14925,10.5633802816901
385,15334,9.88372093023256
389,15496,17.3913043478261
392,15618,19.2307692307692
395,15739,18.4848484848485
400,15936,22.2222222222222
405,16132,20.8695652173913
410,16330,22.8125
415,16532,13.8810198300283
