"Depth","Age","TRSH"
34,1275,17.1628721541156
39,1469,12.379421221865
48,1817,11.0987791342952
54,2050,16.530612244898
58,2207,7.57946210268949
67,2558,9.58164642375169
72,2755,3.09278350515464
80,3069,4.87144790257104
84,3225,2.14723926380368
94,3613,6.57995409334353
104,4002,11.2396694214876
110,4237,17.2151898734177
119,4581,15.2046783625731
126,4849,17.1322160148976
161,6231,12.5319693094629
171,6629,8.83534136546185
179,6943,7.79816513761468
184,7139,7.12694877505568
197,7653,10.6666666666667
204,7931,9.29853181076672
206,8012,6.03060306030603
211,8214,4.37649880095923
215,8375,7.67754318618042
223,8692,3.84843102427472
229,8922,8.45771144278607
233,9079,3.21346595256312
244,9506,5.08474576271186
253,9848,5.5359246171967
257,10006,3.05623471882641
264,10281,5.08474576271186
271,10554,4.18410041841004
276,10748,2.62123197903014
283,11021,1.8018018018018
292,11373,4.26966292134831
299,11643,5.10948905109489
304,11838,4.49172576832151
308,11994,1.96629213483146
313,12178,2.08333333333333
320,12425,2.48403122782115
329,12657,4.42105263157895
334,12784,5.6980056980057
338,12886,0.317460317460317
347,13120,6.36132315521628
354,13296,3.5377358490566
358,13394,8.36431226765799
363,13520,6.11702127659574
369,13674,6.32183908045977
375,13835,2.8735632183908
379,13942,5.10204081632653
382,14020,3.40632603406326
397,14409,4.41988950276243
404,14591,3.35051546391753
409,14723,6.00961538461539
415,14878,5.33333333333333
428,15215,1.33037694013304
432,15319,3.20366132723112
441,15551,2.7972027972028
447,15706,2.8169014084507
454,15889,1.90930787589499
459,16021,2.45700245700246
465,16173,0.51150895140665
470,16297,2.24438902743142
477,16479,0.995024875621891
485,16685,1.29032258064516
489,16790,0.480769230769231
493,16892,3.39622641509434
498,17020,0.29673590504451
503,17146,0.761421319796954
508,17274,1.20481927710843
515,17454,1.9774011299435
522,17649,1.60427807486631
524,17709,1.2987012987013
526,17768,2.65486725663717
529,17852,4.59518599562363
