"Depth","Age","TRSH"
105,3150,15.9763313609467
110,3303,12.8125
140,4213,41.1764705882353
145,4363,20.3703703703704
150,4513,19.0193164933135
155,4664,20.7920792079208
160,4812,28.9256198347107
165,4965,39.8826979472141
171,5146,37.0967741935484
174,5238,49.2063492063492
180,5419,50.7177033492823
185,5574,58.1818181818182
190,5728,20.2020202020202
200,6033,25.6214149139579
210,6330,52.4886877828054
215,6482,50.2923976608187
220,6637,48.5981308411215
225,6789,54.0880503144654
230,6937,50.9174311926606
235,7087,46.4088397790055
245,7386,45.5384615384615
256,7714,57.1428571428571
266,8018,53.8775510204082
275,8295,50.6172839506173
285,8631,44.5887445887446
295,8998,45.7831325301205
306,9419,49.2211838006231
316,9804,48.8038277511962
325,10148,44.4444444444444
335,10532,44.015444015444
345,10916,43.9130434782609
355,11299,39.0243902439024
366,11723,31.7647058823529
385,12451,33.5227272727273
396,12882,28.9808917197452
405,13228,26.1682242990654
415,13612,40.6593406593407
425,13996,38.0952380952381
435,14380,44.5454545454545
445,14764,40
455,15145,35.15625
465,15528,26.6009852216749
475,15910,41.3897280966767
485,16298,37.1134020618557
496,16726,37.6119402985075
505,17069,38.6666666666667
515,17448,41.5162454873646
525,17823,41.7840375586854
535,18216,48.7654320987654
545,18618,26.9230769230769
555,19018,25.7309941520468
570,19614,23.7536656891496
581,20060,7.35551663747811
590,20436,11.036036036036
595,20638,7.426597582038
600,20839,6.70289855072464
605,21042,8.21596244131455
610,21241,8.35073068893528
620,21647,4.17558886509636
630,22053,8.69565217391304
641,22506,6.51828298887122
650,22874,5.81395348837209
660,23275,6.95488721804511
670,23682,6.42570281124498
681,24131,7.88732394366197
690,24484,23.6923076923077
700,24895,34.4051446945338
710,25317,49.1961414790997
716,25564,69.5906432748538
720,25728,51.4522821576764
725,25929,53.0701754385965
735,26333,27.007299270073
740,26541,32.1739130434783
746,26785,65.2173913043478
749,26909,29.3706293706294
755,27156,62.8712871287129
760,27360,16.9590643274854
768,27689,64.8648648648649
785,28378,15.9235668789809
