"Depth","Age","TRSH"
5,57,22.020725388601
10,138,25.1989389920424
15,218,33.810888252149
20,303,30.1624129930394
27,422,15.3153153153153
32,507,23.2375979112272
38,609,20.8672086720867
43,694,10.8823529411765
48,778,25.2941176470588
127,2149,14.6551724137931
132,2235,16.7582417582418
138,2337,12.6126126126126
143,2423,14.6268656716418
149,2526,24.4845360824742
156,2645,4.8048048048048
161,2730,14.3884892086331
169,2867,6.44257703081233
174,2951,8.40336134453782
180,3051,17.7966101694915
186,3155,15.7142857142857
191,3239,20.7865168539326
199,3375,12.8834355828221
207,3511,27.9538904899135
213,3613,22.2841225626741
218,3701,16.231884057971
224,3805,10.989010989011
232,3944,24.2937853107345
237,4028,29.3729372937294
243,4137,19.6675900277008
249,4251,21.4492753623188
256,4396,13.7535816618911
261,4501,26.1290322580645
267,4627,16.4596273291925
273,4754,25.8566978193146
281,4923,36.1370716510903
287,5050,12.202380952381
293,5176,27.7333333333333
299,5303,22.9102167182663
307,5473,13.8328530259366
313,5601,14.9847094801223
318,5709,12.3919308357349
324,5835,27.2727272727273
332,6001,30.8681672025723
338,6128,29.2397660818713
344,6255,30.0595238095238
352,6426,23.5474006116208
358,6552,28.8819875776398
363,6655,28.7925696594427
369,6779,27.4924471299094
374,6884,34.3023255813954
381,7034,21.9814241486068
386,7141,22.2551928783383
390,7227,22.7272727272727
395,7331,16.0377358490566
402,7480,14.1141141141141
408,7611,11.7469879518072
414,7737,24.9201277955272
420,7861,18.8087774294671
424,7948,19.0322580645161
431,8098,17.515923566879
436,8199,15.6424581005587
444,8364,18.5758513931889
452,8527,16.7701863354037
458,8646,21.8954248366013
464,8766,28.698224852071
469,8866,27.3015873015873
474,8967,19.4444444444444
480,9090,22.3926380368098
488,9250,14.5454545454545
496,9410,16.4634146341463
502,9530,19.8830409356725
510,9689,10
516,9807,21.9941348973607
524,9971,34.0659340659341
531,10116,20.414201183432
536,10219,24.1721854304636
542,10338,27.5568181818182
547,10439,17.5595238095238
557,10641,20
563,10761,17.1339563862928
568,10860,20.952380952381
574,10977,16.5745856353591
582,11137,14.0056022408964
588,11264,14.6341463414634
593,11366,15.6593406593407
599,11488,14.8825065274151
