"Depth","Age","TRSH"
2,2040,7.79220779220779
21,2696,7.76699029126214
56,3946,6.84523809523809
62,4161,13.4328358208955
74,4574,6.46766169154229
83,4895,8.45921450151057
94,5295,13.7096774193548
101,5554,2.99727520435967
104,5664,7.96703296703297
111,5926,8.9041095890411
116,6108,5.76923076923077
125,6432,4.22960725075529
136,6827,7.48663101604278
146,7175,4.49826989619377
153,7424,0
164,7811,5.26315789473684
179,8333,4.22535211267606
184,8509,5.50161812297735
185,8545,7.05882352941176
195,8902,7.6219512195122
200,9075,3.17812269031781
203,9195,7.58377425044092
217,9926,7.69230769230769
229,10632,1.85185185185185
239,11229,5.35714285714286
247,11547,1.71919770773639
255,11740,3.83141762452107
262,11871,3.4440344403444
265,11927,5.26315789473684
275,12113,4.10958904109589
287,12340,2.71186440677966
295,12491,2.63157894736842
304,12660,1.68539325842697
328,13101,2.7027027027027
337,13266,11.6564417177914
345,13415,14.2857142857143
353,13562,13.2404181184669
361,13710,9.45945945945946
365,13736,12.3809523809524
374,13762,19.8795180722892
378,13789,34.9056603773585
384,13802,35.377358490566
387,13808,33.1632653061224
390,13814,31.7647058823529
394,13822,18.5840707964602
410,13855,15.0306748466258
430,13895,16.6112956810631
450,13936,42.5531914893617
470,13977,46.3414634146341
473,13983,44.7368421052632
480,13998,54.5454545454545
483,14004,13.3333333333333
488,14014,37.5
504,14047,54.9738219895288
523,14087,53.4615384615385
542,14126,30.9803921568627
555,14153,10.4529616724739
566,14175,15.0684931506849
580,14203,23.7837837837838
602,14247,29.6116504854369
611,14265,16.3265306122449
617,14277,17.7215189873418
624,14291,49.7959183673469
627,14297,42.5925925925926
630,14303,21.9047619047619
633,14309,38.7959866220736
641,14326,15.3225806451613
650,14343,32.4414715719064
660,14364,45.045045045045
700,14444,39.4736842105263
740,14524,49.1735537190083
