"Depth","Age","TRSH"
4,19,9.65250965250965
11,92,10.989010989011
15,133,9.01287553648069
23,217,9.21985815602837
55,551,2.53164556962025
64,645,3.78006872852234
73,738,6.57439446366782
82,832,5.42168674698795
99,1010,7.78443113772455
103,1051,8.76623376623377
109,1114,9.00692840646651
115,1176,13.3064516129032
119,1218,7.66129032258065
124,1270,5.73476702508961
128,1312,6.89655172413793
133,1364,7.72058823529412
137,1406,4.8689138576779
142,1458,6.34328358208955
146,1500,4.9618320610687
150,1542,4.02930402930403
156,1604,3.07167235494881
161,1656,6.10169491525424
165,1698,5.78231292517007
170,1750,10.4575163398693
177,1823,7.16417910447761
182,1875,8.47457627118644
186,1917,7.80669144981413
190,1959,13.1386861313869
194,2000,10.6617647058824
199,2053,8.38926174496644
209,2157,7.29483282674772
217,2240,5.77507598784195
223,2303,3.95136778115502
227,2345,6.11510791366906
231,2386,6.90909090909091
240,2480,5.43933054393305
244,2522,10.8870967741935
249,2574,11.4173228346457
253,2616,5.64516129032258
261,2699,4.08921933085502
274,2835,4.71014492753623
282,2918,5.51181102362205
286,2960,9.01960784313725
290,3002,9.80392156862745
299,3109,11.4982578397213
304,3231,4.74683544303798
314,3473,7.5
323,3692,3.58565737051793
329,3837,14.4262295081967
336,4007,15.1515151515152
342,4153,9.94152046783626
349,4323,18.0064308681672
353,4420,9.03614457831325
358,4541,10.4347826086957
369,4808,7.54189944134078
374,4929,7.12250712250712
378,5026,2.47349823321555
382,5123,4.40677966101695
387,5245,3.64238410596026
392,5366,13.4751773049645
397,5413,5.21172638436482
402,5442,6.93069306930693
408,5477,8.7719298245614
418,5534,4.63576158940397
424,5569,7.26072607260726
432,5615,5.32544378698225
438,5650,5.0314465408805
442,5673,6.94864048338369
449,5713,4.25531914893617
457,5759,8.38323353293413
463,5794,7.95847750865052
469,5828,4.53074433656958
474,5857,4.32098765432099
478,5880,6.10932475884244
485,5920,5.22875816993464
490,5949,3.71621621621622
496,5984,4.48275862068965
504,6030,4.2483660130719
511,6070,5.38922155688623
518,6110,5.24590163934426
524,6145,5.3125
528,6168,4.40771349862259
537,6220,6.98324022346369
543,6254,8.71212121212121
549,6289,8.51735015772871
553,6312,3.81944444444444
560,6352,4.6594982078853
566,6387,5.23076923076923
574,6433,7.51633986928105
579,6462,5.82822085889571
584,6491,6.14035087719298
589,6519,7.04225352112676
593,6542,5.3125
599,6577,8.13253012048193
629,6750,5.32915360501567
635,6784,9.25373134328358
639,6807,8.7378640776699
649,6865,5.69620253164557
653,6888,12.8378378378378
657,6911,12.9032258064516
664,6951,7.63636363636364
669,6980,7.92079207920792
674,7009,20
681,7049,19.2488262910798
689,7095,16.6666666666667
694,7124,8.62944162436548
699,7153,9.40766550522648
703,7176,6.76156583629893
710,7219,9.34959349593496
717,7278,8.27067669172932
725,7345,13.6986301369863
731,7395,11.3138686131387
738,7454,18.5567010309278
742,7487,20.7100591715976
748,7538,15.6739811912226
752,7571,11.4285714285714
756,7605,23.2758620689655
761,7647,19.3103448275862
766,7689,20.2054794520548
770,7722,16.1538461538462
774,7756,12.624584717608
778,7789,19.0184049079755
783,7831,17.5675675675676
791,7898,10.9422492401216
799,7965,14.8936170212766
807,8032,16.7247386759582
811,8066,15.8088235294118
816,8108,14.0762463343109
820,8141,18.6915887850467
824,8175,15.7706093189964
