"Depth","Age","TRSH"
2,-27,30.0527240773286
5,-18,31.0393258426966
7,-13,25.2299605781866
9,-7,29.4488188976378
12,2,25
15,11,28.515625
17,16,31
19,22,30.7692307692308
22,31,31.0888252148997
25,39,30.9552599758162
27,45,39.6057347670251
29,51,38.1578947368421
32,59,36.7424242424242
35,68,35.7377049180328
37,74,47.6718403547672
39,80,41.4736842105263
42,88,50.990099009901
45,97,37.8728923476005
47,103,23.8442822384428
49,108,26.9284712482468
52,128,20.3530633437176
55,296,13.0252100840336
57,407,12.5818181818182
59,526,10.6958021851639
62,704,13.426265590609
65,885,12.68758526603
67,1005,12.2351332877649
69,1124,13.3814102564103
72,1303,13.1498470948012
75,1482,14.4587433762301
77,1601,16.7322834645669
79,1720,18.1638696939783
82,1903,19.3473193473193
85,2185,34.5575959933222
87,2372,38.1663113006397
89,2576,39.6788990825688
92,2881,39.018691588785
95,3193,40.3035413153457
97,3399,37.855579868709
99,3606,37.2302158273381
102,3914,36.4583333333333
105,4225,37.8839590443686
107,4426,31.7343173431734
109,4630,36.6533864541833
112,4937,35.2713178294574
122,5966,34.0782122905028
125,6207,37.7425044091711
128,6434,29.7583081570997
133,6783,18.2242990654206
138,7140,19.452313503305
143,7507,40.9574468085106
148,7867,38.2246376811594
153,8220,43.040293040293
158,8577,45.8333333333333
163,8938,53.2359081419624
168,9288,43.2122370936902
173,9691,33.1920903954802
178,10189,22.5490196078431
183,10710,25.706940874036
188,11226,21.9480519480519
193,11730,32.361963190184
198,12250,41.9724770642202
203,12759,53.3980582524272
208,13270,44.3396226415094
213,13787,39.6378269617706
218,14306,29.8311444652908
223,14805,44.2105263157895
228,15255,43.2506887052342
233,15695,42.156862745098
238,16157,35.5555555555556
243,16609,36.1111111111111
