"Depth","Age","TRSH"
3,21,27.5
7,92,28.4705882352941
11,161,33.2758620689655
15,231,47.7647058823529
19,303,49.0131578947368
23,373,43.3070866141732
27,442,39.4904458598726
106,1796,21.7973231357553
110,1868,22.5352112676056
115,1959,23.8512035010941
120,2049,20.5555555555556
125,2139,27.6315789473684
130,2227,26.7441860465116
134,2297,17.2307692307692
139,2386,24.0449438202247
144,2475,25.7928118393235
149,2578,29.1428571428571
154,2727,30.6763285024155
159,2884,39.9350649350649
165,3080,32.1148825065274
169,3214,37.8980891719745
175,3409,33.5227272727273
180,3578,32.9639889196676
186,3776,30.8483290488432
191,3940,32.6647564469914
196,4104,42.2145328719723
202,4286,46.6101694915254
207,4428,46.8085106382979
212,4572,48.7603305785124
217,4715,51.8181818181818
222,4856,52.9680365296804
227,5001,52.6104417670683
232,5144,49.5145631067961
237,5285,32.0224719101124
242,5425,36.318407960199
247,5564,41.2371134020619
253,5687,44
258,5749,47.5113122171946
264,5822,43.6860068259386
269,5884,38.5321100917431
275,5959,40.590405904059
281,6034,42.3791821561338
286,6096,40.2777777777778
292,6170,48.3271375464684
297,6248,36.8965517241379
