Depth,Age,TRSH
44,0,8.938547486
165,2040,8.707124011
257,3732,11.64021164
367,11772,14.28571429
487,24567,10
617,27606,15.38461538
737,27879,15.78947368
857,28492,10.34482759
977,29127,4.166666667
1095,30401,0
1217,31727,3.333333333
1336,32827,0
1457,33868,10.71428571
1577,34521,7.5
1696,35160,12
1817,35724,14.70588235
1937,36247,10
2057,36663,7.5
2177,37048,21.875
2297,37466,18.18181818
2417,37904,13.79310345
2537,38359,16.12903226
2668,39021,17.46031746
2777,39571,6.201550388
2902,40128,14.75409836
3017,40578,8.602150538
3141,41065,11.80124224
3262,41932,11.81102362
3377,42739,9.375
3494,43439,28.57142857
3617,44493,12.40310078
3739,45753,14.41441441
3857,47745,14.28571429
3977,49808,9.302325581
4105,52017,12
4217,53956,13.10679612
4343,56132,24.86486486
4457,58113,9.090909091
4577,60179,13.55932203
4695,62255,12.24489796
4817,64354,12.6984127
4943,66570,25.92592593
5057,68539,30.76923077
5177,70609,14.70588235
5300,72751,23.68421053
5417,74799,14.03508772
5540,76957,10.85972851
5657,79025,19.29824561
5777,81085,27.27272727
5898,83193,18.03278689
6017,85235,4.761904762
6077,86281,4.320987654
6137,87322,14.63414634
6197,88347,6.273062731
6257,89392,8.823529412
6317,90434,2.489626556
6377,91480,8.235294118
6440,92593,3.780068729
6500,93633,9.885931559
6557,94623,3.548387097
6617,95655,8.284023669
6677,96691,8.227848101
6736,97707,3.333333333
6796,98763,6.71641791
6867,99995,16.36363636
6927,101020,9.714285714
6987,102040,16.21621622
7047,103058,8.923076923
7107,104053,14.28571429
7167,105075,4.487179487
7208,105773,6.557377049
7287,107128,8.157099698
7347,108169,14.14473684
7407,109181,12.79761905
7467,110213,14.79099678
7527,111255,5.671641791
7587,112321,8.235294118
7644,113334,6.293706294
7704,114363,9.951456311
7764,115399,4.140127389
7827,116486,6.211180124
7877,117402,14.75903614
7946,118698,22.01086957
7977,119285,17.04545455
8007,119851,16.7192429
8036,120391,23.56321839
8065,120934,16.19937695
8096,121509,29.6875
8127,122090,21.34502924
8157,122654,30.76923077
8187,123224,17.72151899
8215,123757,16.07717042
8242,124267,18.70967742
8272,124833,22.46835443
8302,125401,35.60830861
8367,126635,24.45141066
8397,127204,19.38202247
8427,127761,31.5942029
8452,128226,21.64634146
8477,128681,11.21212121
8510,129295,8.059701493
8547,129984,11.00628931
8667,132201,17.95665635
8697,132758,18.68852459
8727,133313,8.201892744
8752,133808,10.22727273
8757,133922,20.12383901
8762,134037,21.98142415
8767,134146,18.66295265
8772,134262,22.67080745
8777,134381,5.588235294
8782,134501,7.692307692
8787,134610,7.987220447
8810,135143,7.471264368
8850,136050,4.07523511
8879,136690,8.841463415
8907,137309,6.984126984
8937,137983,7.692307692
8967,138660,8.947368421
8997,139352,11.40350877
9027,140036,6.796116505
9057,140748,5.649717514
9087,141486,9.065155807
9117,142231,7.876712329
9147,142977,6.04534005
9177,143727,11.98830409
9207,144476,10.78431373
9227,144982,26.4
9271,146069,26.93498452
9299,146767,33.81924198
9327,147482,28.05970149
9352,148117,18.23708207
9377,148741,17.59259259
9411,149602,9.459459459
9446,150482,15.86826347
9567,153517,10.21671827
9597,154274,0
9627,155019,6.944444444
9657,155789,11.76470588
9687,156585,10.54216867
9747,158174,22.36024845
9807,160028,41.44144144
9868,161880,28.2208589
9927,163676,24.15902141
9987,165547,11.41304348
10045,167356,11.41304348
10053,167593,7.619047619
10079,168397,6.849315068
10357,176990,17.07317073
10407,178529,9.302325581
10467,180317,14.88549618
10527,182031,11.61616162
10587,183595,16.66666667
10647,185098,24.3902439
10656,185301,22.8021978
10707,186432,10.73619632
10767,187713,11.9047619
10827,188927,3.428571429
10887,190157,8.571428571
10947,191393,5.594405594
10957,191597,9.420289855
10982,192097,15.6626506
10998,192410,7.748184019
11007,192592,7.331378299
11022,192895,7.547169811
11037,193199,15.78947368
11067,193808,13.88012618
11126,195009,27.67857143
11186,196226,26.43312102
11246,197437,20.56962025
11256,197634,13.68421053
11262,197754,31.17647059
11307,198641,17.36111111
11367,199820,17.82477341
11425,200973,7.456140351
11485,202184,3.901734104
11545,203376,2.570694087
11607,204600,12.68656716
11725,206976,9.195402299
11785,208206,6.567164179
11845,209435,21.97802198
11857,209676,3.621169916
