"Depth","Age","TRSH"
250,10077,17.0731707317073
500,10464,8.25688073394495
1000,11237,9.89010989010989
1100,11391,26.6666666666667
1500,12010,24.2857142857143
2000,12783,11.9266055045872
2500,13555,20.7547169811321
3700,15410,19.2771084337349
5000,17420,37.5
5100,17574,35.4838709677419
5200,17729,21.6216216216216
6000,18966,26.7857142857143
7700,21593,45.5882352941176
8000,22057,22.5352112676056
8400,22675,41.9354838709677
10000,25149,18.0555555555556
10800,26385,27.1844660194175
11900,28086,19.2307692307692
12000,28240,8.33333333333333
13550,30636,29
13950,31254,17.5824175824176
15700,32464,36.3636363636364
16000,32582,11.25
18200,33451,25
19200,33846,53.3333333333333
19950,34143,40.7407407407407
21900,34913,41.1764705882353
22000,34952,35.5769230769231
24000,35742,36.9230769230769
24800,36059,37.3626373626374
26000,36533,27.027027027027
