"Depth","Age","TRSH"
132,0,35.2941176470588
148,182,45.625
164,364,42.6666666666667
188,636,35.1351351351351
212,909,42.8015564202335
228,1091,39.4117647058824
244,1273,40.1639344262295
260,1455,22.9508196721311
292,1818,32.089552238806
324,2107,15.6862745098039
340,2214,20.0980392156863
372,2428,25.7894736842105
388,2535,17.6470588235294
404,2642,22.0588235294118
420,2749,20.8695652173913
436,2856,19.3675889328063
452,2963,18.8405797101449
468,3070,24
502,3298,20.3488372093023
516,3391,18.2795698924731
532,3498,13.1868131868132
548,3605,21.3592233009709
564,3712,20.2380952380952
580,3819,21.5859030837004
596,3926,16.4102564102564
618,4074,27.2108843537415
634,4181,32.0574162679426
646,4261,40.7643312101911
654,4314,27.3684210526316
662,4368,38.7096774193548
667,4401,33.5616438356164
670,4421,32.2147651006711
678,4475,31.063829787234
682,4502,28.0405405405405
686,4528,34.1317365269461
