"Depth","Age","TRSH"
10,360,2.40963855421687
17,612,8
31,1116,0
55,1980,2.65486725663717
100,2233,5.55555555555556
115,2261,5.63380281690141
135,2319,0.970873786407767
155,2464,7.85714285714286
165,2536,3.07692307692308
185,2888,6.9364161849711
205,3292,2.10526315789474
215,3494,18.5185185185185
225,3695,43.3333333333333
245,4099,6.77966101694915
265,4476,11.1111111111111
280,4752,3.2967032967033
295,5028,5.45454545454545
310,5304,8.7719298245614
325,5580,6.73076923076923
345,5948,6.93069306930693
355,6132,10.2272727272727
360,6224,7.5
