"Depth","Age","TRSH"
1,89,1.01010101010101
3,266,4.1958041958042
5,443,2.5062656641604
7,620,2.9520295202952
9,797,6.02094240837696
11,975,1.05263157894737
13,1152,0.980392156862745
15,1329,3.19148936170213
17,1506,2.24358974358974
19,1683,2.12014134275618
21,1860,2.91970802919708
23,2038,2.06185567010309
25,2215,1.75438596491228
27,2392,2.41935483870968
29,2569,2.78637770897833
31,2746,2.52808988764045
33,2852,1.76678445229682
35,2887,3.77358490566038
37,2922,2.53164556962025
39,2956,4.0590405904059
41,2991,2.60521042084168
43,3026,5.38116591928251
45,3060,3.47826086956522
47,3095,0.840336134453782
49,3324,1.22699386503067
51,3552,4.45859872611465
53,3781,10.752688172043
55,4010,11.5942028985507
57,4239,4.65116279069767
59,4468,18.1818181818182
61,4696,12.7659574468085
63,4925,9.30232558139535
65,5154,60
69,5611,21.875
71,5840,4.8780487804878
73,5898,3.6144578313253
79,6071,7.8125
81,6129,5.26315789473684
83,6187,4.22535211267606
87,6302,2.77777777777778
91,6446,4.10958904109589
93,6533,2.25988700564972
96,6662,7.40740740740741
99,6792,1.40845070422535
101,6878,15.3846153846154
103,6965,3.77358490566038
105,7051,1.36054421768707
107,7137,3.2258064516129
109,7224,2.67857142857143
113,7396,1.5625
115,7483,1.59151193633952
117,7569,1.13378684807256
119,7655,1.96078431372549
