"Depth","Age","TRSH"
1,780,65.4109589041096
3,800,67.4740484429066
5,820,68.8581314878893
7,840,71.9723183391003
9,860,73.1034482758621
11,881,66.3265306122449
13,901,78.1362007168459
15,921,73.6301369863014
17,942,72.1254355400697
19,962,80.7560137457045
21,983,76.2068965517241
23,1004,77.6632302405498
25,1024,72.8522336769759
27,1045,75.1724137931034
29,1066,79.5847750865052
31,1087,69.0721649484536
33,1107,81.6608996539792
35,1128,76.1245674740484
37,1149,79.9307958477509
39,1169,71.8213058419244
41,1189,74.5704467353952
43,1209,75.3424657534247
45,1230,77.4305555555556
47,1250,67.3539518900344
49,1270,72.3549488054608
