"Depth","Age","TRSH"
0,-50,39.8496240601504
10,135,28.0632411067194
20,329,31.1355311355311
30,520,38.8888888888889
40,710,38.7218045112782
50,906,34.5864661654135
60,1102,38.2899628252788
70,1293,29.3893129770992
80,1484,36.4705882352941
90,1667,27.1698113207547
100,1857,38.5542168674699
110,2050,28.1368821292776
120,2243,26.4150943396226
130,2434,31.6981132075472
140,2627,37.5912408759124
150,2819,35.4330708661417
160,3014,34.3629343629344
170,3208,30.7407407407407
180,3402,31.9548872180451
190,3594,28.1853281853282
195,3692,33.984375
200,3788,46.0431654676259
210,3981,44.3181818181818
220,4174,45.3183520599251
230,4365,38.8235294117647
240,4563,43.5424354243542
250,4754,54.2635658914729
260,4950,38.4328358208955
270,5144,43.0188679245283
280,5334,42.7536231884058
290,5605,42.3529411764706
300,5894,51.4705882352941
310,6179,42.3791821561338
320,6470,45.7875457875458
330,6753,42.8571428571429
340,7040,45.3571428571429
350,7327,50.965250965251
360,7612,34.9264705882353
370,7902,43.8931297709924
380,8193,41.1320754716981
390,8482,41.2
400,8776,44.4029850746269
410,9071,38.1322957198444
420,9368,39.6825396825397
430,9658,37.1541501976285
440,9953,46.3878326996198
450,10249,42.914979757085
460,10394,32.6771653543307
470,10673,34.6303501945525
480,10945,42.2794117647059
490,11219,46.6135458167331
