"Depth","Age","TRSH"
0,-19,67.6056338028169
2,75,67.4576271186441
4,168,74.9090909090909
6,260,67.3469387755102
8,350,73
10,438,74.3055555555556
12,528,72.3905723905724
14,617,71.6171617161716
16,712,69.4078947368421
18,811,61.7554858934169
20,911,62.9411764705882
22,1029,57.9545454545455
23,1088,40.5829596412556
24,1148,44.2827442827443
26,1385,39.0022675736961
28,1728,47.5324675324675
30,2069,41.5422885572139
32,2456,38.5390428211587
34,2839,40.6685236768802
36,3268,34.0050377833753
38,3745,52.2222222222222
40,4222,52.1212121212121
42,4652,52.5157232704403
44,5084,48.4472049689441
46,5533,48.3582089552239
48,6007,50.2994011976048
50,6481,34.733893557423
52,6935,35.5191256830601
54,7396,47.3186119873817
56,7932,54.0268456375839
58,8547,85.0174216027875
60,9165,66.3194444444444
62,10849,76.5734265734266
64,12538,66.9039145907473
