"Depth","Age","TRSH"
0,-50,74.8148148148148
4,5,84.2696629213483
8,64,84.3636363636364
12,122,85.8208955223881
16,180,81.25
20,239,85.1301115241636
24,297,86.5454545454545
28,355,86.8131868131868
32,413,82.5454545454545
36,478,91.82156133829
40,558,88.1040892193309
44,639,86.8794326241135
46,679,76.8211920529801
48,719,77.257525083612
50,759,72.6384364820847
52,799,63.0177514792899
54,827,52.1390374331551
56,854,49.0338164251208
58,875,53.7037037037037
60,896,45.6730769230769
62,916,44.811320754717
64,935,60.9418282548476
66,956,44.2222222222222
68,976,40.5579399141631
