"Depth","Age","TRSH"
1,159,85.3658536585366
3,261,88.6120996441281
5,362,83.2142857142857
7,464,90.9407665505227
9,564,83.7455830388693
11,665,86.4285714285714
13,766,87.8571428571429
15,867,91.1347517730496
17,967,84.8056537102474
19,1065,90.625
21,1169,88.2142857142857
23,1279,88.2562277580071
25,1389,87.1886120996441
27,1500,84.7517730496454
29,1611,80.3571428571429
31,1742,81.6901408450704
33,1896,79.6491228070175
35,2050,77.3851590106007
37,2204,80.2816901408451
39,2356,76.1565836298932
41,2516,85.4609929078014
43,2685,86.0627177700348
45,2854,86.7595818815331
47,3023,88.2352941176471
49,3192,82.9181494661922
51,3456,76.056338028169
53,3809,82.5174825174825
55,4160,80.0699300699301
57,4512,83.5664335664336
59,4863,79.1666666666667
61,5246,80.2816901408451
63,5663,72.3404255319149
65,6079,75.9717314487633
67,6495,73.943661971831
69,6910,76.0416666666667
71,7312,71.9298245614035
73,7707,67.6056338028169
75,8101,65.7342657342657
77,8495,64.5161290322581
79,8888,44.1379310344828
81,9310,50.354609929078
83,9761,35.5400696864112
85,10210,35.5633802816901
87,10657,22.4137931034483
89,11104,23.943661971831
91,11536,18.2758620689655
93,11953,12.8919860627178
95,12371,13.4020618556701
97,12790,20.7746478873239
99,13207,14.0350877192982
101,13646,18.3098591549296
103,14110,17.8082191780822
105,14574,15.8450704225352
107,15031,11.7647058823529
109,15486,24.5551601423488
111,15947,26.9784172661871
113,16405,25.531914893617
115,16864,27.8571428571429
117,17326,28.7234042553191
119,17783,22.9681978798587
121,18256,15.9010600706714
123,18751,28.8256227758007
125,19248,16.8458781362007
127,19745,20.979020979021
