"Depth","Age","TRSH"
1,-61,20.3921568627451
3,-56,24.4206773618538
5,-51,15.7712305025997
7,-46,30.6413301662708
9,-42,22.4264705882353
11,-35,30.1790281329923
13,-13,30.2798982188295
15,63,32.3456790123457
16,108,36.5789473684211
17,152,75.0915750915751
18,181,66.0714285714286
19,203,43.75
20,223,43.448275862069
21,241,34.280303030303
22,267,12.9896907216495
23,295,10.1179391682185
25,337,9.54015099519561
27,357,31.8518518518519
28,367,20.7843137254902
31,401,9.32203389830508
34,434,10.6870229007634
37,468,8.74035989717224
40,501,8.29145728643216
43,535,9.94764397905759
46,584,13.1901840490798
49,635,9.31818181818182
