"Depth","Age","TRSH"
0,-55,27.5641025641026
2,40,17.7570093457944
4,135,30.1587301587302
6,226,45.4849498327759
32,1407,39.8058252427184
36,1595,38.4126984126984
38,1677,36.2745098039216
40,1766,38.5382059800664
42,1883,43.2258064516129
44,1992,26.6457680250784
48,2415,35.4838709677419
52,2907,23.7942122186495
56,3411,27.6527331189711
60,3987,28.2958199356913
62,4245,29.6774193548387
64,4506,34.8387096774194
68,5154,33.3333333333333
72,5996,26.1829652996845
76,6979,34.9358974358974
80,7932,25.4838709677419
82,8393,28.8524590163934
84,8853,53.4810126582278
88,9787,48.7012987012987
92,10725,43.4375
96,11680,41.5282392026578
100,12673,44.0789473684211
102,13117,39.1585760517799
104,13564,39.8026315789474
106,14002,40.1929260450161
108,14439,48.8745980707396
112,15075,39.2282958199357
116,15435,36.8932038834951
120,15734,37.0967741935484
122,15888,32.0512820512821
124,16039,36.8253968253968
126,16189,21.3592233009709
128,16339,24.4299674267101
132,16638,25.8899676375405
136,16933,26.1437908496732
138,17086,20.983606557377
140,17240,19.5439739413681
144,17547,14.5631067961165
148,17849,7.86885245901639
152,18150,10.8974358974359
156,18458,11.2179487179487
160,18766,10.7843137254902
164,19063,12.987012987013
166,19215,12.540192926045
168,19369,11.8421052631579
172,19672,9.03225806451613
176,19979,14.2384105960265
180,20289,8.41750841750842
