"Depth","Age","TRSH"
0,-55,36.3333333333333
2,-16.13333,34.6666666666667
4,22.73333,32.1192052980132
6,61.6,30.1324503311258
8,100.4667,37.123745819398
10,139.3333,40.6040268456376
12,178.2,34.8122866894198
14,217.0667,34.7682119205298
16,255.9333,32.1070234113712
18,294.8,40.133779264214
20,333.6667,36.6666666666667
22,372.5333,37.953795379538
24,411.4,38.5382059800664
26,450.2667,33.7748344370861
28,489.1333,36.4238410596027
30,528,38.6666666666667
32,591.5428,38.3838383838384
34,655.0857,38.9261744966443
36,718.6286,42.7609427609428
38,782.1714,47.9865771812081
40,845.7143,46.2837837837838
42,909.2571,59
44,972.8,55.6270096463022
46,1036.343,58.7248322147651
48,1099.886,50.3355704697987
50,1163.429,51.877133105802
52,1226.971,46.9178082191781
54,1290.514,54.9828178694158
56,1354.057,58.3617747440273
58,1417.6,49.5016611295681
60,1481.143,63.2107023411371
62,1544.686,66.1129568106312
64,1608.229,69.5512820512821
66,1671.771,49.5114006514658
68,1735.314,39.0322580645161
70,1798.857,42.3566878980892
72,1862.4,52.7508090614887
74,1925.943,53.5603715170279
76,1989.486,53.8983050847458
78,2053.029,48.0263157894737
