Depth,Age,TRSH
0,-53,32.88135593
8,-9,36.86006826
16,30,32.08191126
24,71,32.2147651
32,110,26.51006711
40,150,29.05405405
48,190,33.22033898
56,231,34.89932886
64,272,35.11705686
72,311,21.42857143
76,331,23.98648649
80,351,26.17449664
84,371,29.43143813
88,391,29.76588629
92,410,20.46979866
96,430,24.33333333
100,450,36.82432432
104,482,29.83050847
108,514,34.01360544
112,545,35.01683502
116,578,22.22222222
120,610,35.47297297
124,646,27.090301
128,680,22.81879195
132,714,22.0735786
136,749,21.07023411
140,783,18.98305085
144,817,34.12162162
148,850,24.66216216
152,884,23.98648649
156,918,35.35353535
160,953,38.7755102
164,987,39.33333333
168,1018,37.45819398
172,1050,33.10810811
176,1083,35.78595318
180,1116,33.11036789
184,1148,28.61952862
188,1181,28.81355932
196,1246,25.42372881
200,1277,25.83892617
204,1326,39.52702703
208,1380,30.53691275
212,1433,30.74324324
216,1490,27
220,1550,26.77966102
224,1604,26
228,1661,27.60942761
232,1719,24.66216216
236,1775,18.24324324
240,1830,38.17567568
244,1886,18.60465116
248,1940,29.62962963
252,1996,30.10033445
256,2052,36.27118644
260,2106,47.13804714
264,2158,36.82432432
268,2213,43
272,2269,26.84563758
276,2323,26.75585284
280,2380,46.12794613
284,2434,30
288,2487,46.15384615
296,2602,41.33333333
300,2655,36.24161074
304,2717,31.41891892
308,2767,26.93602694
312,2816,25.5033557
316,2863,26.5993266
320,2912,32.2147651
324,2963,32.32323232
328,3015,28.28282828
332,3066,36
336,3116,9.333333333
340,3167,12.04013378
344,3221,18
348,3273,17.05685619
352,3324,28.28282828
356,3373,27.89115646
360,3424,27.33333333
364,3481,24.06779661
368,3531,30.3030303
372,3582,37.62711864
376,3632,33.33333333
380,3687,30.06756757
384,3740,42
388,3795,38.9261745
396,3899,22
400,3946,19.93243243
