Depth,Age,TRSH
0,-60,31.08108108
4,4.603175,32.31292517
8,69.20635,23.63013699
12,133.8095,17.17171717
16,198.4127,31.64983165
20,263.0159,19.86531987
24,327.619,10.77441077
28,392.2222,14.18918919
32,456.8254,12.16216216
36,521.4286,18.58108108
40,586.0317,27.02702703
44,650.6349,34.12162162
48,715.2381,29.96632997
50,747.5397,22.14765101
54,812.1429,30.06756757
58,876.746,35.25423729
62,941.3492,45.08474576
66,1005.952,30.95238095
70,1070.556,30.16949153
74,1135.159,27.42474916
78,1199.762,33.89261745
82,1264.365,37.33333333
86,1328.968,29.76588629
90,1393.571,28.52348993
94,1458.175,30.84745763
98,1522.778,29.59183673
102,1587.381,29.39189189
106,1651.984,28.13559322
110,1716.587,32.31292517
114,1781.19,29.72972973
118,1845.794,25.58922559
122,1910.397,27.94612795
126,1975,34.11371237
130,2051.986,36.27118644
134,2128.973,34.7826087
138,2205.959,19.3220339
142,2282.945,17.39130435
146,2359.931,23.80952381
150,2436.918,26.96245734
154,2513.904,26.8707483
158,2590.89,29.79452055
162,2667.877,27.75919732
166,2744.863,26.96245734
170,2821.849,24.57337884
174,2898.836,26.02739726
178,2975.822,26.93602694
182,3052.808,28.13559322
186,3129.794,27.64505119
190,3206.781,29.79452055
194,3283.767,29.89690722
198,3360.753,30.03412969
200,3399.247,27.5862069
